sku,shortEmb,longEmb
11100267,דשנים אלה מיועדים לגידולים ולמגדלים המעדיפים דשן דל כלור במקום דשני עידית אך מבקשים לחסוך ממחיר דשני הסדרה רביב.,"דשנים אלה מיועדים לגידולים ולמגדלים המעדיפים דשן דל כלור במקום דשני ;עידית; אך מבקשים לחסוך ממחיר דשני הסדרה רביב;. מכיל: אמון חנקתי, חומצה זרחתית, אשלגן חנקתי, חד-אשלגן זרחתי תאור: סדרת דשנים נוזליים דלי כלור (פחות מ CI 1%), אשר הוכנה בהתאמה לתכונות המים בערבה, השונות משל המים בשאר אזורי הארץ צבע - שקוף עד צהוב, בערבה סופר - אדום כהה תגובה: הדשנים הם חומציים, לשיפור השתלבותם במי ההשקיה הספקה: בצובר, במיכליות ייעודיות"
11100350,דשנים אלה מיועדים לגידולים ולמגדלים המעדיפים דשן דל כלור במקום דשני עידית אך מבקשים לחסוך ממחיר דשני הסדרה רביב.,"דשנים אלה מיועדים לגידולים ולמגדלים המעדיפים דשן דל כלור במקום דשני ;עידית; אך מבקשים לחסוך ממחיר דשני הסדרה ;רביב. מכיל: אמון חנקתי, חומצה זרחתית, אשלגן חנקתי, חד-אשלגן זרחתי תאור: סדרת דשנים נוזליים דלי כלור (פחות מ CI 1%), אשר הוכנה בהתאמה לתכונות המים בערבה, השונות משל המים בשאר אזורי הארץ צבע - שקוף עד צהוב, בערבה סופר - אדום כהה תגובה: הדשנים הם חומציים, לשיפור השתלבותם במי ההשקיה הספקה: בצובר, במיכליות ייעודיות"
11100365,דשנים אלה מיועדים לגידולים ולמגדלים המעדיפים דשן דל כלור במקום דשני עידית אך מבקשים לחסוך ממחיר דשני הסדרה רביב.,"דשנים אלה מיועדים לגידולים ולמגדלים המעדיפים דשן דל כלור במקום דשני עידית אך מבקשים לחסוך ממחיר דשני הסדרה רביב. מכיל: אמון חנקתי, חומצה זרחתית, אשלגן חנקתי, חד-אשלגן זרחתי תאור: סדרת דשנים נוזליים דלי כלור (פחות מ CI 1%), אשר הוכנה בהתאמה לתכונות המים בערבה, השונות משל המים בשאר אזורי הארץ צבע - שקוף עד צהוב, בערבה סופר - אדום כהה תגובה: הדשנים הם חומציים, לשיפור השתלבותם במי ההשקיה הספקה: בצובר, במיכליות ייעודיות"
11100863,"לדישון מטעים, ירקות וגידולי שדה כאשר נדרשת תוספת יסודות הקורט לדשני הסדרה עידית.","לדישון מטעים, ירקות וגידולי שדה כאשר נדרשת תוספת יסודות הקורט לדשני הסדרה עידית. מכיל: חנקן מאמון חנקתי, זרחן מחומצה זרחתית ו/או פיק, אשלגן מאשלגן כלורי ופיק ויסודות הקורט בכלאציה כסופר קורטין אזהרות: הדשנים בסדרת שרית משתכים (קורסיביים) למתכות וגם לפלבם יש לאחסנם וליישמם בכלים עמידים לשיתוך. בכל מקרה של מגע בעור או בעיניים יש לשטוף מיד במים רבים הספקה: בצובר, במיכליות הערות: הציון 3+ מימין לנוסחת ההרכב משמעו תוספת 300 מגר / קג (חמ) של ברזל (Fe) 150 חמ מנגאן (Mn) 75 חמ אבץ (Zn) 11 חמ נחושת (Cu) ו-8 חמ מוליבדן (Mo) עפי הזמנה, בציון 6+, תכולת יסודות הקורט כפולה מזו. שרית סופר - ניתן להזמין את כל הרכבי שרית בגירסת סופר."
11210300,תכשיר נוזלי לתגבור הזנת בורון של גידולים במצעים מנותקים ולריסוס להזנה בבורון בזיתים ובשאר גידולים הדורשים תוספת בורון. לשימוש אך ורק לפי המלצת מומחים (עודף בורון עלול להזיק לצמחים).,תכשיר נוזלי לתגבור הזנת בורון של גידולים במצעים מנותקים ולריסוס להזנה בבורון בזיתים ובשאר גידולים הדורשים תוספת בורון. לשימוש אך ורק לפי המלצת מומחים (עודף בורון עלול להזיק לצמחים).מכיל: 7000 מגר בורון (B) בליטרשילובים: ניתן
11210402,,
11210700,לריסוס תפרחות עגבנייה לשם הגברת החניטה ועידוד גדילת הפירות.,"לריסוס תפרחות עגבנייה לשם הגברת החניטה ועידוד גדילת הפירות.מכיל: 50 גרם בליטר B Napthoxyacetic acidהספקה: נמכר בבקבוקים המכילים 100 סמקתאור: תמיסה סמיכה מעט ממים, בגוון ירוק או כחולמשקל הליטר: (0.01+) 1.12 ק&"
11211070,"דשן חנקני וגפרתי, מתאים לדישוני יסוד, לדישוני צד ולדישוני ראש של גידולים חקלאיים וצמחי נוי.","דשן חנקני וגפרתי, מתאים לדישוני יסוד, לדישוני צד ולדישוני ראש של גידולים חקלאיים וצמחי נוי.מכיל: 21% חנקן צרוף (N), 24% גפרית (S)הנוסחה: (NH4(2SO4הספקה: בשקי פוליפרופילן במשקל 25 ק""ג, בשקי ענק או בתפזורת"
11211180,מיועדת לריסוס צמחים לתוספות סידן לרקמותיהם וניתנת להוספה למי ההשקיה של גידולים במצעים מנותקים. לשימוש על פי הנחיות מדריכים מקצועיים ומומחים הספקה: נמכרת בקנקנים בני 10 ליטר. מעל 500ליטר גם בצובר (מיכלית),מיועדת לריסוס צמחים לתוספות סידן לרקמותיהם וניתנת להוספה למי ההשקיה של גידולים במצעים מנותקים. לשימוש על פי הנחיות מדריכים מקצועיים ומומחיםהספקה: נמכרת בקנקנים בני 10 ליטר. מעל 500ליטר גם בצובר (מיכלית)מכיל: 150 גר סיד
11211183,"להמרצת גידולים חקלאיים, שיפור קליטת יסודות הזנה מהקרקע והפחתת נזקי עקה. מעודד התפתחות השורשים, הנוף והפרי.","להמרצת גידולים חקלאיים, שיפור קליטת יסודות הזנה מהקרקע והפחתת נזקי עקה. מעודד התפתחות השורשים, הנוף והפרי.מכיל: לפחות %15 חומצות הומיותנוסחה: חומר אורגני - מיצוי מחצב טבעי (ליאונרדיט)הספקה: בקנקנים - 10 ליטר ובקנקן ו"
11211185,"נועד לריפוי ולמניעה של מחסור מגניון (מגנזיום) בגידולים חקלאיים. מגנאון קל ונוח לערבוב בתמיסת הריסוס, ואינו שוחק פומיות המרסס. מספק לצמחים חנקן בצד המגניון, ליעילות מוגברת של קליטה המגניון להזנה חנקנית בה בעת.","נועד לריפוי ולמניעה של מחסור מגניון (מגנזיום) בגידולים חקלאיים. מגנאון קל ונוח לערבוב בתמיסת הריסוס, ואינו שוחק פומיות המרסס. מספק לצמחים חנקן בצד המגניון, ליעילות מוגברת של קליטה המגניון להזנה חנקנית בה בעת.מכיל: בכל 1 ליטר 84 גרם"
11211200,"להמרצת גידולים חקלאיים, שיפור קליטת יסודות הזנה מהקרקע והפחתת נזקי עקה. מעודד התפתחות השורשים, הנוף והפרי.","להמרצת גידולים חקלאיים, שיפור קליטת יסודות הזנה מהקרקע והפחתת נזקי עקה. מעודד התפתחות השורשים, הנוף והפרי. מכיל: לפחות %15 חומצות הומיות נוסחה: חומר אורגני - מיצוי מחצב טבעי (ליאונרדיט) הספקה: בקנקנים - 10 ליטר ובקנקן וכן במיכלי 1000 ליטר תאור: נוזל חום כהה משקל הליטר: (0.05+) 1.09 קג, ב-&ordm;C 25 תגובה: בסיסית - (0.5+) 9=pH"
11211250,להמרצת גידולים בחקלאות עי ריסוס הנוף. היישום בריסוס - העלווה. רצוי לרסס עד להרטבה מלאה של הנוף. ניתן לשלב משטח מתאים (בדוק תווית המשטח).,"להמרצת גידולים בחקלאות עי ריסוס הנוף. היישום בריסוס - העלווה. רצוי לרסס עד להרטבה מלאה של הנוף. ניתן לשלב משטח מתאים (בדוק תווית המשטח). מכיל: 7% חנקן (85 גרם N בליטר) 7% תחמוצת הזרחן (85 גרם P2O5 בליטר) 7% תחמוצת האשלגן (85 גרם P2O5 בליטר) מעשר ביסודות קורט בכלאציה: ברזל (Fe) 1 גרם בליטר, מנגאן (Mn) 0.5 גרם בליטר, אבץ (Zn) 0.25 גרם בליטר, נחושת (Cu) 0.03 גרם בליטר, וכן 0.03 גרם מוליבדן (Mo) בליטר מינון: להדרים ולרב מיני הירקות ותפוא - 4-3 ליטר עלוותון לכל 100 ליטר תרסיס. לגידולים רגישים וכן בשילובים עם חומרים נוספים - יש להפחית מן המינון הספקה: בקנקנים, 10 ליטר בקנקן. בהזמנות גדולות - גם בצובר תאור: תמיסה צלולה בגוון ירקרק משקל הליטר: (0.02 +) 1.2 קג, ב-&ordm;C 25 תגובה: סתמית, (0.5+) 7=pH אזהרות: אין לרסס צמחים צמאים. אין לרסס בימים חמים ויבשים. לגידולים רגישים ו/או בשילוב חומרים נוספים יש להפחית מהמינון. מומלץ לרסס קטע בוחן לפני היישום הכללי: חנטים צעירים ופרחים עלולים להיפגע מריכוז יתר."
11211369,"בסדרת שפר דשנים מורכבים נוזליים באיכות עליונה. הם נועדו בעיקר לדישון של גידולים במצע מנותק, בחול ובאדמות קלות. לכן, לייצור דשני הסדרה שפר אין משתמשים באוריאה ולא במלחי כלור.","בסדרת שפר דשנים מורכבים נוזליים באיכות עליונה. הם נועדו בעיקר לדישון של גידולים במצע מנותק, בחול ובאדמות קלות. לכן, לייצור דשני הסדרה שפר אין משתמשים באוריאה ולא במלחי כלור. מכיל: חנקן חנקתי וחנקן אמוני, זרחן ואשלגן, וכן קורטין כמקור ליסודות הקורט תכולת היסודות-כבטבלה הספקה: בצובר (מיכליות) בחצר המשק תגובה: לדשני הסדרה תגובה חומצית מעט (0.5+) 3.5=pH והם משתכים למתכות, למעט פלבמ הערות: הציון 3+ מימין לנוסחת ההרכב משמעו תוספת 300 מגר/קג ברזל (Fe), 150 מגר/קג מנגאן (Mn), 75 מגר/קג אבץ (Zn), 11 מגר/קג נחושת (Cu) ו-8 מגר/קג מוליבדן (Mo) עפי הזמנה, בציון 6+ - תכולת יסודות הקורט כפולה מזו בהזמנה בציון B+ - ניתן לקבל דשני שפר בתוספת 70 מגר/קג בורון (B) בהזמנה מיוחדת בציון בתוספת מגנזיום (Mg+) - אנו מספקים דשני שפר בתוספת Mg 0.5% (5 גרם מגנזיום בקג דשן) דשנים דומים לדשני סדרת שפר, אך ללא יסודות קורט ניתן להזמין מסדרת רביב בחורף מומלץ למהול את הדשנים הנוזליים עי הוספת 20 ליטר מים לכל 100 ליטר דשן כדי למנוע הווצרות גבישים בלילות קרים (את מנת הדשן מגדילים עפי שעור המיהול פי 1.2). או להזמין דשנים בריכוז מופחת, כגון שפר 4-2-6, שפר 6-3-3 שפר סופר - ניתן להזמין את כל הרכבי שפר בגרסת סופר: יסודות הקורט מקורם בברקורט לשיפור יעילות קליטת הברזל"
11211370,"בסדרת שפר דשנים מורכבים נוזליים באיכות עליונה. הם נועדו בעיקר לדישון של גידולים במצע מנותק, בחול ובאדמות קלות. לכן, לייצור דשני הסדרה שפר אין משתמשים באוריאה ולא במלחי כלור.","בסדרת שפר דשנים מורכבים נוזליים באיכות עליונה. הם נועדו בעיקר לדישון של גידולים במצע מנותק, בחול ובאדמות קלות. לכן, לייצור דשני הסדרה שפר אין משתמשים באוריאה ולא במלחי כלור. מכיל: חנקן חנקתי וחנקן אמוני, זרחן ואשלגן, וכן קורטין כמקור ליסודות הקורט תכולת היסודות-כבטבלה הספקה: בצובר (מיכליות) בחצר המשק תגובה: לדשני הסדרה תגובה חומצית מעט (0.5+) 3.5=pH והם משתכים למתכות, למעט פלבמ הערות: הציון 3+ מימין לנוסחת ההרכב משמעו תוספת 300 מגר/קג ברזל (Fe), 150 מגר/קג מנגאן (Mn), 75 מגר/קג אבץ (Zn), 11 מגר/קג נחושת (Cu) ו-8 מגר/קג מוליבדן (Mo) עפי הזמנה, בציון 6+ - תכולת יסודות הקורט כפולה מזו בהזמנה בציון B+ - ניתן לקבל דשני שפר בתוספת 70 מגר/קג בורון (B) בהזמנה מיוחדת בציון בתוספת מגנזיום (Mg+) - אנו מספקים דשני שפר בתוספת Mg 0.5% (5 גרם מגנזיום בקג דשן) דשנים דומים לדשני סדרת שפר, אך ללא יסודות קורט ניתן להזמין מסדרת רביב בחורף מומלץ למהול את הדשנים הנוזליים עי הוספת 20 ליטר מים לכל 100 ליטר דשן כדי למנוע הווצרות גבישים בלילות קרים (את מנת הדשן מגדילים עפי שעור המיהול פי 1.2). או להזמין דשנים בריכוז מופחת, כגון שפר 4-2-6, שפר 6-3-3"
31101025,"תרכיז נוזלי לחיטוי קרקע, להדברת פטריות קרקע, נמטודות ועשבים.","תרכיז נוזלי לחיטוי קרקע, להדברת פטריות קרקע, נמטודות ועשבים. אדיגן סופר מתערבב עם המים שבקרקע, והופך תוך מספר שעות לגז מסיס במים הפועל על הפגעים הבאים: פטריות קרקע שונות, נמטודות חופשיות ומזיקי קרקע שונים. קוטל צמחים חד-שנתיים וזרעים בתהליך הנביטה ופוגע חלקית בצמחים רב-שנתיים. אדיגן סופר אינו קוטל זרעים בתרדמה. אדיגן סופר קוטל את כל הצמחים הקיימים בשטח בעת הטיפול ועלול לפגוע גם בעצים ששורשיהם מגיעים לאדמה שמצוי בה חומר. תוך 10-20 יום בהתאם לטמפרטורות הקרקע נעלם החומר בלי להשאיר כל שאריות בקרקע."
31101170,התכשיר אורבגו הוא תערובת של קוטל פטריות חדש (ametoctradin (initium וקוטל הפטריות הכללי דימאטומורפ.,"התכשיר אורבגו הוא תערובת של קוטל פטריות חדש (ametoctradin (initium וקוטל הפטריות הכללי דימאטומורפ. התכשיר בעל תכונות הגנתיות, טרנסלמינאריות וסיסטמיות מקומית. למניעת פיתוח עמידות לתכשיר, אין לרסס יותר מ-3 ריסוסים ברציפות באורבגו אלא לרסס מדי פעם גם בחומרים מקבוצות אחרות. אין לרסס יותר מ-4 פעמים בעונה."
31101382,קוטל עשבים לא בררני הקוטל במגע עשבים רחבי עלים ודגניים חד- שנתיים ורב שנתיים במטעים ולהקמלת העלווה בתפוחי אדמה.,קוטל עשבים לא בררני הקוטל במגע עשבים רחבי עלים ודגניים חד- שנתיים ורב שנתיים במטעים ולהקמלת העלווה בתפוחי אדמה. הוראות שימוש: להדברת עשבים רב-שנתיים מרססים לפני או במשך הפריחה. להדברת עשבים חד-שנתיים מרססים בגמר הצצתם. ההדברה מושגת לאחר 7-10 ימים בהתאם לתנאי מזג האוויר וחיוניות העשבים. בתנאי טמפרטורות גבוהות ניתן לצפות לפעילות מהירה יותר. אין לטפל כאשר הטמפרטורות נמוכות מ-C&deg;10 . גשם היורד תוך 6 שעות מהריסוס או המטרה תוך 48 שעות מהריסוס עלולים לפגום ביעילות הטיפול. אין לרסס ברוח או בתנאי שרב. רחף התכשיר עלול לפגוע בגידולים שכנים ובמיוחד בעצים גלעיניים. מנע ריסוס על עלוות הגידול ועל גזעים לא מעוצים. בהקמלת הנוף בתפוחי אדמה &ndash; אין לרסס על עלווה רטובה. אין לרסס בשדות המיועדים לייצור זרעים. במטעים &ndash; ניתן לרסס מהנטיעה. בהכנת שטחים &ndash; יש להמתין 3 ימים ממועד הריסוס לפני זריעה או שתילה
31101384,"תרכיז נוזלי, קוטל עשבים כללי סיסטמי לא בררני להדברת עשבים קיימים.","תרכיז נוזלי, קוטל עשבים כללי סיסטמי לא בררני להדברת עשבים קיימים. התכשיר נקלט ע״י העלווה הירוקה ומובל כלפי מטה גם לחלקים התת-קרקעיים וגורם לתמותת הצמחים. כדי לקבל הדברה מרבית צריך לרסס על צמחים ירוקים רעננים. בעשבים רב-שנתיים המתפתחים מאיברי ריבוי תת-קרקעיים, צריך להמתין בטיפול עד שהצימוח יפרוץ מהם ולהימנע מעיבוד קרקע או כיסוח עלווה לפני הטיפול. פעילות גלייפוגן איטית, תוצאות ניתן לצפות תוך 2-6 שבועות מהריסוס בהתאם לסוג העשבייה ומועד הטיפול. לאחר ריסוס עשבים רב-שנתיים צריך להימנע מעיבוד הקרקע לפחות 7 ימים לאחר הריסוס. הוראות שימוש: לקבלת הדברה מיטבית של העשבים, הימנע מהשקיה בהמטרה במשך יומיים לאחר הריסוס. גשם היורד תוך 6 שעות לאחר הריסוס מפחית מיעילות הטיפול. אבק המכסה את העשבים מפחית מיעילות הריסוס. בעונת החורף (בטמפרטורה נמוכה), פעילות גלייפוגן על עשבים רב-שנתיים אינה מספקת. אין לרסס בתנאי עקה לצמח (חמסין, יובש או קרה). אין לרסס ברוח. מנע הגעת תרסיס או רחף לעלווה ולפירות של גידולי תרבות ולגזעי עצים בלתי מעוצים ולכל צמחייה רצויה, בריכות דגים ומקורות מים. אין לרסס בגלייפוגן בזמן הפעלת ההשקיה בטפטוף. גשמים עזים לאחר ריסוס בגלייפוגן עלולים להחדיר את החומר למערכת השורשים ולגרום לנזקים בגידול. מנע האבסת בעלי חיים וכניסתם לשטח מרוסס במשך 14 יום מהריסוס. גלייפוגן תוקף מתכות למעט פלדת אל-חלד, השתמש רק במרססים בעלי מכלים העשויים מחומרים סינתטיים או מפלדת אל-חלד.אין להשתמש במכל עשוי ברזל."
31101393,"קוטל עשבים בררני מונע הצצה ומדביר עשבים קיימים בהדרים, במטעים, בירקות, בגידולי שדה, בצמחי נוי ויער ובהכנת שטחים - תרכיז מתחלב.","קוטל עשבים בררני מונע הצצה ומדביר עשבים קיימים בהדרים, במטעים, בירקות, בגידולי שדה, בצמחי נוי ויער ובהכנת שטחים - תרכיז מתחלב. גליגן המופעל מהסתיו ועד האביב בהמטרה או בגשם ימנע את הצצת העשבים הבאים לתקופה ממושכת בהתאם לעונה ולמינון ויקטול בריסוס את אותם העשבים שגובהם עד 10 סמ (למעט הדגניים שרק הצצתם תימנע). הוראות שימוש: לקראת הטיפול למניעת הצצה: רסס על קרקע חלקה ללא רגבים. עיבוד השטח לאחר הריסוס יפחית את פעילות התכשיר במניעת הצצה. טמפרטורות גבוהות יקצרו את משך פעולת מניעת ההצצה של התכשיר. היווצרות בקיעים בקרקע מטופלת בגליגן תאפשר הצצת עשבים. הפעלת התכשיר: גליגן ימנע הצצת עשבים לאחר שיופעל ע״י גשם או המטרה בשיעור 10 ממ לפחות. יש להפעילו בקיץ לא יאוחר מ-7 ימים ובחורף לא יאוחר משבועיים לאחר הריסוס. הערות לטיפול: אין לרסס גליגן בחממות ובמבנים סגורים. אין לרסס בתנאי לחות ובתנאי מזג אוויר קיצוניים כגון קרה, שרב או כאשר הגידול נמצא בתנאי עקה כגון יובש, נזקי קרה, חוסר אוורור קרקע, נזק מקוטלי עשבים ועוד. גליגן צורב צמחים. הימנע מרחף לגידולים שכנים וצמחי תרבות."
31101395,"קוטל עשבים בררני מונע הצצה ומדביר עשבים קיימים בהדרים, במטעים, בירקות, בגידולי שדה, בצמחי נוי ויער ובהכנת שטחים - תרכיז מתחלב.","קוטל עשבים בררני מונע הצצה ומדביר עשבים קיימים בהדרים, במטעים, בירקות, בגידולי שדה, בצמחי נוי ויער ובהכנת שטחים - תרכיז מתחלב. גליגן המופעל מהסתיו ועד האביב בהמטרה או בגשם ימנע את הצצת העשבים הבאים לתקופה ממושכת בהתאם לעונה ולמינון ויקטול בריסוס את אותם העשבים שגובהם עד 10 סמ (למעט הדגניים שרק הצצתם תימנע). הוראות שימוש: לקראת הטיפול למניעת הצצה: רסס על קרקע חלקה ללא רגבים. עיבוד השטח לאחר הריסוס יפחית את פעילות התכשיר במניעת הצצה. טמפרטורות גבוהות יקצרו את משך פעולת מניעת ההצצה של התכשיר. היווצרות בקיעים בקרקע מטופלת בגליגן תאפשר הצצת עשבים. הפעלת התכשיר: גליגן ימנע הצצת עשבים לאחר שיופעל ע״י גשם או המטרה בשיעור 10 ממ לפחות. יש להפעילו בקיץ לא יאוחר מ-7 ימים ובחורף לא יאוחר משבועיים לאחר הריסוס. הערות לטיפול: אין לרסס גליגן בחממות ובמבנים סגורים. אין לרסס בתנאי לחות ובתנאי מזג אוויר קיצוניים כגון קרה, שרב או כאשר הגידול נמצא בתנאי עקה כגון יובש, נזקי קרה, חוסר אוורור קרקע, נזק מקוטלי עשבים ועוד. גליגן צורב צמחים. הימנע מרחף לגידולים שכנים וצמחי תרבות."
31101400,"מונע הצצה וקוטל עשבים בררני. מדביר עשבים קיימים בהדרים, במטעים, בירקות, בגידולי שדה, בצמחי נוי ובהכנת שטחים.","קוטל עשבים בררני מונע הצצה ומדביר עשבים קיימים בהדרים, במטעים, בירקות, בגידולי שדה, בצמחי נוי ויער ובהכנת שטחים - תרכיז מתחלב. גליגן המופעל מהסתיו ועד האביב בהמטרה או בגשם ימנע את הצצת העשבים הבאים לתקופה ממושכת בהתאם לעונה ולמינון ויקטול בריסוס את אותם העשבים שגובהם עד 10 סמ (למעט הדגניים שרק הצצתם תימנע). הוראות שימוש: לקראת הטיפול למניעת הצצה: רסס על קרקע חלקה ללא רגבים. עיבוד השטח לאחר הריסוס יפחית את פעילות התכשיר במניעת הצצה. טמפרטורות גבוהות יקצרו את משך פעולת מניעת ההצצה של התכשיר. היווצרות בקיעים בקרקע מטופלת בגליגן תאפשר הצצת עשבים. הפעלת התכשיר: גליגן ימנע הצצת עשבים לאחר שיופעל ע״י גשם או המטרה בשיעור 10 ממ לפחות. יש להפעילו בקיץ לא יאוחר מ-7 ימים ובחורף לא יאוחר משבועיים לאחר הריסוס. הערות לטיפול: אין לרסס גליגן בחממות ובמבנים סגורים. אין לרסס בתנאי לחות ובתנאי מזג אוויר קיצוניים כגון קרה, שרב או כאשר הגידול נמצא בתנאי עקה כגון יובש, נזקי קרה, חוסר אוורור קרקע, נזק מקוטלי עשבים ועוד. גליגן צורב צמחים. הימנע מרחף לגידולים שכנים וצמחי תרבות."
31101410,קוטל עשבים משולב להדברת עשבים חד-שנתיים ולמניעת הצצתם בעצי פרי שונים - תרכיז רחיף.,"קוטל עשבים משולב להדברת עשבים חד-שנתיים ולמניעת הצצתם בעצי פרי שונים - תרכיז רחיף. קוטל עשבים משולב המדביר עשבים קיימים ע׳׳י חדירתו דרך העלווה הירוקה ומונע הצצת עשבים חד-שנתיים דגניים ורחבי- עלים לאחר הפעלתו ע״י גשם או המטרה. הוראות שימוש: לקבלת הדברה ממושכת רצוי לרסס לאחר הצצת העשבים. להדברה יעילה יש לרסס את העשבים כשהם ירוקים ורעננים ולפני הגעתם לגובה 20-30 סמ. גשם היורד תוך 6 שעות מהריסוס מפחית מיעילות הריסוס. אבק המכסה את העשבים מפחית מיעילות הריסוס. אין חשש מפגיעת התרסיס בגזעי עצים מעוצים. ניתן לטפל שנית בחלוף 4 חודשים ממועד הריסוס. אין לתת יותר משני טיפולים בשנה. שים לב: התכשיר תוקף מתכות למעט פלדה אל-חלד, השתמש רק במרססים בעלי מכלים העשויים מחומרים סינתטיים או מפלדת אל-חלד. אין להשתמש במכל עשוי ברזל. התכשיר צורב צמחים. מנע הגעת התרסיס או רחף לעלווה ולפירות של גידולי תרבות ולגזעי עצים צעירים בלתי מעוצים ולכל צמחייה רצויה, בריכות דגים ומקורות מים. אין לרסס גליידר בזמן הפעלת ההשקיה בטפטוף וכן לפני או במהלך גשמים עזים. אין לרסס בחממות או במבנים סגורים."
31101415,קוטל עשבים משולב להדברת עשבים חד-שנתיים ולמניעת הצצתם בעצי פרי שונים - תרכיז רחיף.,"קוטל עשבים משולב להדברת עשבים חד-שנתיים ולמניעת הצצתם בעצי פרי שונים - תרכיז רחיף. קוטל עשבים משולב המדביר עשבים קיימים ע׳׳י חדירתו דרך העלווה הירוקה ומונע הצצת עשבים חד-שנתיים דגניים ורחבי- עלים לאחר הפעלתו ע״י גשם או המטרה. הוראות שימוש: לקבלת הדברה ממושכת רצוי לרסס לאחר הצצת העשבים. להדברה יעילה יש לרסס את העשבים כשהם ירוקים ורעננים ולפני הגעתם לגובה 20-30 סמ. גשם היורד תוך 6 שעות מהריסוס מפחית מיעילות הריסוס. אבק המכסה את העשבים מפחית מיעילות הריסוס. אין חשש מפגיעת התרסיס בגזעי עצים מעוצים. ניתן לטפל שנית בחלוף 4 חודשים ממועד הריסוס. אין לתת יותר משני טיפולים בשנה. שים לב: התכשיר תוקף מתכות למעט פלדה אל-חלד, השתמש רק במרססים בעלי מכלים העשויים מחומרים סינתטיים או מפלדת אל-חלד. אין להשתמש במכל עשוי ברזל. התכשיר צורב צמחים. מנע הגעת התרסיס או רחף לעלווה ולפירות של גידולי תרבות ולגזעי עצים צעירים בלתי מעוצים ולכל צמחייה רצויה, בריכות דגים ומקורות מים. אין לרסס גליידר בזמן הפעלת ההשקיה בטפטוף וכן לפני או במהלך גשמים עזים. אין לרסס בחממות או במבנים סגורים."
